table_name,column_name,data_masking_domain,pct
client,email,email,1.0
client,fio,person_fio,1.0
client,card_num,person_inn,0.012
client1,email,email,1.0
client1,fio,person_fio,1.0
client1,card_num,person_inn,0.012
client2,email,email,1.0
client2,fio,person_fio,1.0
client2,card_num,person_inn,0.012
client3,email,email,1.0
client3,fio,person_fio,1.0
client3,card_num,person_inn,0.012
client4,email,email,1.0
client4,fio,person_fio,1.0
client4,card_num,person_inn,0.012
client5,email,email,1.0
client5,fio,person_fio,1.0
client5,card_num,person_inn,0.012
client6,email,email,1.0
client6,fio,person_fio,1.0
client6,card_num,person_inn,0.012
client7,email,email,1.0
client7,fio,person_fio,1.0
client7,card_num,person_inn,0.012
client8,email,email,1.0
client8,fio,person_fio,1.0
client8,card_num,person_inn,0.012
client9,email,email,1.0
client9,fio,person_fio,1.0
client9,card_num,person_inn,0.012
crm_client,email,email,1.0
crm_client,fio,person_fio,1.0
crm_client,card_num,person_inn,0.012
crm_client1,email,email,1.0
crm_client1,fio,person_fio,1.0
crm_client1,card_num,person_inn,0.012
crm_client2,email,email,1.0
crm_client2,fio,person_fio,1.0
crm_client2,card_num,person_inn,0.012
crm_client3,email,email,1.0
crm_client3,fio,person_fio,1.0
crm_client3,card_num,person_inn,0.012
crm_client4,email,email,1.0
crm_client4,fio,person_fio,1.0
crm_client4,card_num,person_inn,0.012
crm_client5,email,email,1.0
crm_client5,fio,person_fio,1.0
crm_client5,card_num,person_inn,0.012
crm_client6,email,email,1.0
crm_client6,fio,person_fio,1.0
crm_client6,card_num,person_inn,0.012
crm_client7,email,email,1.0
crm_client7,fio,person_fio,1.0
crm_client7,card_num,person_inn,0.012
crm_client8,email,email,1.0
crm_client8,fio,person_fio,1.0
crm_client8,card_num,person_inn,0.012
crm_client9,email,email,1.0
crm_client9,fio,person_fio,1.0
crm_client9,card_num,person_inn,0.012
